Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
1	ghmh	ghmh	2	14	1	0.53313	0.5
2	losat	ghmh	2	14	1	0.04855	0.5
3	losatyh	ghmh	2	14	1	0.08389	0.5
4	wscei	ghmh	2	14	0.9623	0.02303	0.5
5	lssupac	ghmh	2	14	1	-0.04273	0.5
6	lssupvl	ghmh	2	14	1	-0.07836	0.5
7	lsrush	ghmh	2	14	1	0.05881	0.5
8	lshrhw	ghmh	2	14	0.5217	-0.01163	0.5
9	lsshare	ghmh	2	14	0.2458	0	0.5
10	ghmh	losat	2	14	1	0.0824	0.5
11	losat	losat	2	14	1	0.47482	0.5
12	losatyh	losat	2	14	1	0.09849	0.5
13	wscei	losat	2	14	0.7623	-0.02217	0.5
14	lssupac	losat	2	14	1	-0.05451	0.5
15	lssupvl	losat	2	14	1	-0.04611	0.5
16	lsrush	losat	2	14	1	0.03924	0.5
17	lshrhw	losat	2	14	0.4721	0	0.5
18	lsshare	losat	2	14	0.1981	0	0.5
19	ghmh	losatyh	2	14	1	0.088	0.5
20	losat	losatyh	2	14	1	0.04447	0.5
21	losatyh	losatyh	2	14	1	0.61126	0.5
22	wscei	losatyh	2	14	1	0.03526	0.5
23	lssupac	losatyh	2	14	0.6031	-0.02181	0.5
24	lssupvl	losatyh	2	14	0.8443	-0.02766	0.5
25	lsrush	losatyh	2	14	0.0783	0	0.5
26	lshrhw	losatyh	2	14	0.0376	0	0.5
27	lsshare	losatyh	2	14	0.4413	0	0.5
28	ghmh	wscei	2	14	0.271	0	0.5
29	losat	wscei	2	14	0.4175	0	0.5
30	losatyh	wscei	2	14	1	0.02922	0.5
31	wscei	wscei	2	14	1	0.84731	0.5
32	lssupac	wscei	2	14	0.0204	0	0.5
33	lssupvl	wscei	2	14	0.0365	0	0.5
34	lsrush	wscei	2	14	1	-0.03818	0.5
35	lshrhw	wscei	2	14	1	-0.03452	0.5
36	lsshare	wscei	2	14	0.2157	0	0.5
37	ghmh	lssupac	2	14	1	-0.04135	0.5
38	losat	lssupac	2	14	1	-0.0567	0.5
39	losatyh	lssupac	2	14	0.99	-0.02459	0.5
40	wscei	lssupac	2	14	0.5727	0.00325	0.5
41	lssupac	lssupac	2	14	1	0.33432	0.5
42	lssupvl	lssupac	2	14	1	0.08268	0.5
43	lsrush	lssupac	2	14	0.6542	-0.00582	0.5
44	lshrhw	lssupac	2	14	0.63	-0.00545	0.5
45	lsshare	lssupac	2	14	0.8984	0.01564	0.5
46	ghmh	lssupvl	2	14	1	-0.16776	0.5
47	losat	lssupvl	2	14	1	-0.0672	0.5
48	losatyh	lssupvl	2	14	0.1816	0	0.5
49	wscei	lssupvl	2	14	0.0275	0	0.5
50	lssupac	lssupvl	2	14	1	0.11466	0.5
51	lssupvl	lssupvl	2	14	1	0.3478	0.5
52	lsrush	lssupvl	2	14	0.0221	0	0.5
53	lshrhw	lssupvl	2	14	0.0689	0	0.5
54	lsshare	lssupvl	2	14	1	-0.06211	0.5
55	ghmh	lsrush	2	14	1	0.0574	0.5
56	losat	lsrush	2	14	0.3953	0	0.5
57	losatyh	lsrush	2	14	0.0483	0	0.5
58	wscei	lsrush	2	14	1	-0.07695	0.5
59	lssupac	lsrush	2	14	0.0192	0	0.5
60	lssupvl	lsrush	2	14	0.0201	0	0.5
61	lsrush	lsrush	2	14	1	0.61607	0.5
62	lshrhw	lsrush	2	14	1	-0.03994	0.5
63	lsshare	lsrush	2	14	1	0.04108	0.5
64	ghmh	lshrhw	2	14	0.0056	0	0.5
65	losat	lshrhw	2	14	0.2585	0	0.5
66	losatyh	lshrhw	2	14	0.0344	0	0.5
67	wscei	lshrhw	2	14	1	-0.08327	0.5
68	lssupac	lshrhw	2	14	0.0227	0	0.5
69	lssupvl	lshrhw	2	14	0.0417	0	0.5
70	lsrush	lshrhw	2	14	0.8903	-0.02724	0.5
71	lshrhw	lshrhw	2	14	1	0.60045	0.5
72	lsshare	lshrhw	2	14	1	-0.10479	0.5
73	ghmh	lsshare	2	14	0.0147	0	0.5
74	losat	lsshare	2	14	0.0247	0	0.5
75	losatyh	lsshare	2	14	0.1185	0	0.5
76	wscei	lsshare	2	14	0.9871	0.02794	0.5
77	lssupac	lsshare	2	14	0.0543	0	0.5
78	lssupvl	lsshare	2	14	1	-0.03183	0.5
79	lsrush	lsshare	2	14	1	0.04074	0.5
80	lshrhw	lsshare	2	14	1	-0.09049	0.5
81	lsshare	lsshare	2	14	1	0.6761	0.5
