wave,posterior,var,xwaveid
-6,0,ghmh,0100353
-5,0,ghmh,0100353
-4,0,ghmh,0100353
-3,0.2143,ghmh,0100353
-2,0.1156,ghmh,0100353
-1,0.1617,ghmh,0100353
0,0.1797,ghmh,0100353
1,0.3374,ghmh,0100353
2,0.4409,ghmh,0100353
3,0.067,ghmh,0100353
4,0.1312,ghmh,0100353
5,0.016,ghmh,0100353
6,0.6413,ghmh,0100353
7,0,ghmh,0100353
8,0,ghmh,0100353
-6,0,losat,0100353
-5,0,losat,0100353
-4,0,losat,0100353
-3,4e-4,losat,0100353
-2,2e-4,losat,0100353
-1,3e-4,losat,0100353
0,2e-4,losat,0100353
1,0.0011,losat,0100353
2,1e-4,losat,0100353
3,5e-4,losat,0100353
4,2e-4,losat,0100353
5,9e-4,losat,0100353
6,5e-4,losat,0100353
7,0,losat,0100353
8,0,losat,0100353
-6,0,losateo,0100353
-5,0,losateo,0100353
-4,0,losateo,0100353
-3,0.205,losateo,0100353
-2,0.1135,losateo,0100353
-1,0.1094,losateo,0100353
0,0.1115,losateo,0100353
1,0.0921,losateo,0100353
2,0.0702,losateo,0100353
3,0.1484,losateo,0100353
4,0.0891,losateo,0100353
5,0.086,losateo,0100353
6,0.0923,losateo,0100353
7,0,losateo,0100353
8,0,losateo,0100353
-6,0,losatfs,0100353
-5,0,losatfs,0100353
-4,0,losatfs,0100353
-3,0.1277,losatfs,0100353
-2,0.0665,losatfs,0100353
-1,0.0786,losatfs,0100353
0,0.0483,losatfs,0100353
1,0.0441,losatfs,0100353
2,0.0513,losatfs,0100353
3,0.0363,losatfs,0100353
4,0.048,losatfs,0100353
5,0.0374,losatfs,0100353
6,0.0413,losatfs,0100353
7,0,losatfs,0100353
8,0,losatfs,0100353
-6,0,losatft,0100353
-5,0,losatft,0100353
-4,0,losatft,0100353
-3,0.1305,losatft,0100353
-2,0.0557,losatft,0100353
-1,0.0375,losatft,0100353
0,0.0859,losatft,0100353
1,0.0355,losatft,0100353
2,0.035,losatft,0100353
3,0.029,losatft,0100353
4,0.0403,losatft,0100353
5,0.0287,losatft,0100353
6,0.0217,losatft,0100353
7,0,losatft,0100353
8,0,losatft,0100353
-6,0,losathl,0100353
-5,0,losathl,0100353
-4,0,losathl,0100353
-3,0.0119,losathl,0100353
-2,0.0101,losathl,0100353
-1,0.0121,losathl,0100353
0,0.0065,losathl,0100353
1,0.0081,losathl,0100353
2,0.0153,losathl,0100353
3,0.014,losathl,0100353
4,0.0097,losathl,0100353
5,0.016,losathl,0100353
6,0.0198,losathl,0100353
7,0,losathl,0100353
8,0,losathl,0100353
-6,0,losatlc,0100353
-5,0,losatlc,0100353
-4,0,losatlc,0100353
-3,0.1175,losatlc,0100353
-2,0.0506,losatlc,0100353
-1,0.0589,losatlc,0100353
0,0.042,losatlc,0100353
1,0.0421,losatlc,0100353
2,0.0672,losatlc,0100353
3,0.0338,losatlc,0100353
4,0.05,losatlc,0100353
5,0.051,losatlc,0100353
6,0.0495,losatlc,0100353
7,0,losatlc,0100353
8,0,losatlc,0100353
-6,0,losatnl,0100353
-5,0,losatnl,0100353
-4,0,losatnl,0100353
-3,0.1573,losatnl,0100353
-2,0.0568,losatnl,0100353
-1,0.0519,losatnl,0100353
0,0.1046,losatnl,0100353
1,0.0466,losatnl,0100353
2,0.0532,losatnl,0100353
3,0.0451,losatnl,0100353
4,0.0886,losatnl,0100353
5,0.0461,losatnl,0100353
6,0.0841,losatnl,0100353
7,0,losatnl,0100353
8,0,losatnl,0100353
-6,0,losatsf,0100353
-5,0,losatsf,0100353
-4,0,losatsf,0100353
-3,0.0657,losatsf,0100353
-2,0.0519,losatsf,0100353
-1,0.0639,losatsf,0100353
0,0.128,losatsf,0100353
1,0.165,losatsf,0100353
2,0.6257,losatsf,0100353
3,0.0479,losatsf,0100353
4,0.0969,losatsf,0100353
5,0.1033,losatsf,0100353
6,0.1215,losatsf,0100353
7,0,losatsf,0100353
8,0,losatsf,0100353
-6,0,losatyh,0100353
-5,0,losatyh,0100353
-4,0,losatyh,0100353
-3,0.0738,losatyh,0100353
-2,0.0316,losatyh,0100353
-1,0.0281,losatyh,0100353
0,0.0506,losatyh,0100353
1,0.0241,losatyh,0100353
2,0.0305,losatyh,0100353
3,0.0299,losatyh,0100353
4,0.035,losatyh,0100353
5,0.0216,losatyh,0100353
6,0.0623,losatyh,0100353
7,0,losatyh,0100353
8,0,losatyh,0100353
-6,0,lssupac,0100353
-5,0,lssupac,0100353
-4,0,lssupac,0100353
-3,0.0374,lssupac,0100353
-2,0.0189,lssupac,0100353
-1,0.0282,lssupac,0100353
0,0.021,lssupac,0100353
1,0.0198,lssupac,0100353
2,0.024,lssupac,0100353
3,0.0165,lssupac,0100353
4,0.0216,lssupac,0100353
5,0.0217,lssupac,0100353
6,0.0338,lssupac,0100353
7,0,lssupac,0100353
8,0,lssupac,0100353
-6,0,lssuplt,0100353
-5,0,lssuplt,0100353
-4,0,lssuplt,0100353
-3,0.437,lssuplt,0100353
-2,0.0372,lssuplt,0100353
-1,0.0842,lssuplt,0100353
0,0.0177,lssuplt,0100353
1,0.032,lssuplt,0100353
2,0.0309,lssuplt,0100353
