Parent	Target	CPstart	CPend	PostProb	CoeffMean	edgesThreshold
1	ghmh	ghmh	2	14	1	0.55333	0.5
2	losat	ghmh	2	14	1	0.04077	0.5
3	losatyh	ghmh	2	14	1	0.08101	0.5
4	wscei	ghmh	2	14	0.962	0.02293	0.5
5	lssupac	ghmh	2	14	1	-0.04094	0.5
6	lssupvl	ghmh	2	14	1	-0.0822	0.5
7	lsrush	ghmh	2	14	1	0.05421	0.5
8	lshrhw	ghmh	2	14	0.1037	0	0.5
9	lsshare	ghmh	2	14	0.0929	0	0.5
10	ghmh	losat	2	14	1	0.06279	0.5
11	losat	losat	2	14	1	0.4714	0.5
12	losatyh	losat	2	14	1	0.08857	0.5
13	wscei	losat	2	14	0.9992	-0.02861	0.5
14	lssupac	losat	2	14	1	-0.0339	0.5
15	lssupvl	losat	2	14	1	-0.03834	0.5
16	lsrush	losat	2	14	1	0.04095	0.5
17	lshrhw	losat	2	14	0.9973	0.02686	0.5
18	lsshare	losat	2	14	0.9871	0.02148	0.5
19	ghmh	losatyh	2	14	1	0.07433	0.5
20	losat	losatyh	2	14	0.9921	0.03429	0.5
21	losatyh	losatyh	2	14	1	0.59687	0.5
22	wscei	losatyh	2	14	1	0.03521	0.5
23	lssupac	losatyh	2	14	0.0333	0	0.5
24	lssupvl	losatyh	2	14	1	-0.03662	0.5
25	lsrush	losatyh	2	14	0.0227	0	0.5
26	lshrhw	losatyh	2	14	0.0228	0	0.5
27	lsshare	losatyh	2	14	0.7315	-0.02	0.5
28	ghmh	wscei	2	14	0.0425	0	0.5
29	losat	wscei	2	14	0.9777	-0.0254	0.5
30	losatyh	wscei	2	14	1	0.0336	0.5
31	wscei	wscei	2	14	1	0.87094	0.5
32	lssupac	wscei	2	14	0.0112	0	0.5
33	lssupvl	wscei	2	14	0.0071	0	0.5
34	lsrush	wscei	2	14	1	-0.02614	0.5
35	lshrhw	wscei	2	14	1	-0.02839	0.5
36	lsshare	wscei	2	14	0.0272	0	0.5
37	ghmh	lssupac	2	14	1	-0.06476	0.5
38	losat	lssupac	2	14	1	-0.05883	0.5
39	losatyh	lssupac	2	14	0.0995	0	0.5
40	wscei	lssupac	2	14	0.0119	0	0.5
41	lssupac	lssupac	2	14	1	0.40788	0.5
42	lssupvl	lssupac	2	14	1	0.10407	0.5
43	lsrush	lssupac	2	14	0.0145	0	0.5
44	lshrhw	lssupac	2	14	0.0156	0	0.5
45	lsshare	lssupac	2	14	0.0176	0	0.5
46	ghmh	lssupvl	2	14	1	-0.16988	0.5
47	losat	lssupvl	2	14	1	-0.06119	0.5
48	losatyh	lssupvl	2	14	0.9884	-0.03273	0.5
49	wscei	lssupvl	2	14	0.9983	-0.02952	0.5
50	lssupac	lssupvl	2	14	1	0.10222	0.5
51	lssupvl	lssupvl	2	14	1	0.33876	0.5
52	lsrush	lssupvl	2	14	0.1334	0	0.5
53	lshrhw	lssupvl	2	14	0.1494	0	0.5
54	lsshare	lssupvl	2	14	0.9989	-0.03427	0.5
55	ghmh	lsrush	2	14	1	0.04731	0.5
56	losat	lsrush	2	14	0.7912	0.02487	0.5
57	losatyh	lsrush	2	14	0.0709	0	0.5
58	wscei	lsrush	2	14	1	-0.07205	0.5
59	lssupac	lsrush	2	14	0.0369	0	0.5
60	lssupvl	lsrush	2	14	0.0239	0	0.5
61	lsrush	lsrush	2	14	1	0.60876	0.5
62	lshrhw	lsrush	2	14	1	-0.04099	0.5
63	lsshare	lsrush	2	14	0.0915	0	0.5
64	ghmh	lshrhw	2	14	0.0819	0	0.5
65	losat	lshrhw	2	14	1	0.03722	0.5
66	losatyh	lshrhw	2	14	0.0363	0	0.5
67	wscei	lshrhw	2	14	1	-0.07973	0.5
68	lssupac	lshrhw	2	14	0.0303	0	0.5
69	lssupvl	lshrhw	2	14	0.0467	0	0.5
70	lsrush	lshrhw	2	14	1	-0.04073	0.5
71	lshrhw	lshrhw	2	14	1	0.62489	0.5
72	lsshare	lshrhw	2	14	1	-0.0909	0.5
73	ghmh	lsshare	2	14	0.6468	-0.00774	0.5
74	losat	lsshare	2	14	0.7664	0.01116	0.5
75	losatyh	lsshare	2	14	0.8871	-0.01512	0.5
76	wscei	lsshare	2	14	0.8255	0.01291	0.5
77	lssupac	lsshare	2	14	0.5914	0.00256	0.5
78	lssupvl	lsshare	2	14	0.8584	-0.013	0.5
79	lsrush	lsshare	2	14	0.6954	0.00874	0.5
80	lshrhw	lsshare	2	14	1	-0.06189	0.5
81	lsshare	lsshare	2	14	1	0.46443	0.5
